reg_name,reg_addr
ATUII_TCNT10D_B,0xFFFFF6C8
ATUII_TCNT10E_W,0xFFFFF6CA
ATUII_TCNT10F_W,0xFFFFF6CC
ATUII_TCNT10G_W,0xFFFFF6CE
ATUII_ICR10AH_W,0xFFFFF6D0
ATUII_ICR10AL_W,0xFFFFF6D2
ATUII_OCR10AH_W,0xFFFFF6D4
ATUII_OCR10AL_W,0xFFFFF6D6
ATUII_OCR10B_B,0xFFFFF6D8
ATUII_RLD10C_W,0xFFFFF6DA
ATUII_GR10G_W,0xFFFFF6DC
ATUII_TCNT10H_B,0xFFFFF6DE
ATUII_NCR10_B,0xFFFFF6E0
ATUII_TIOR10_B,0xFFFFF6E2
ATUII_TCR10_B,0xFFFFF6E4
ATUII_TCCLR10_W,0xFFFFF6E6
ATUII_TSR10_W,0xFFFFF6E8
ATUII_TIER10_W,0xFFFFF6EA
APC_POPCR_W,0xFFFFF700
SYSCR_B,0xFFFFF708
MSTCR_[W]_W,0xFFFFF70A
MSTCR_[R]_B,0xFFFFF70B
CMSTR_W,0xFFFFF710
CMCSR0_W,0xFFFFF712
CMCNT0_W,0xFFFFF714
CMCOR0_W,0xFFFFF716
CMCSR1_W,0xFFFFF718
CMCNT1_W,0xFFFFF71A
CMCOR1_W,0xFFFFF71C
PAIOR_W,0xFFFFF720
PACRH_W,0xFFFFF722
PACRL_W,0xFFFFF724
PADR_W,0xFFFFF726
PHIOR_W,0xFFFFF728
PHCR_W,0xFFFFF72A
PHDR_W,0xFFFFF72C
PBIOR_W,0xFFFFF730
PBCRH_W,0xFFFFF732
PBCRL_W,0xFFFFF734
PBIR_W,0xFFFFF736
PBDR_W,0xFFFFF738
PCIOR_W,0xFFFFF73A
PCCR_W,0xFFFFF73C
PCDR_W,0xFFFFF73E
PDIOR_W,0xFFFFF740
PDCRH_W,0xFFFFF742
PDCRL_W,0xFFFFF744
PDDR_W,0xFFFFF746
PFIOR_W,0xFFFFF748
PFCRH_W,0xFFFFF74A
PFCRL_W,0xFFFFF74C
